Test,Reference
1205,1252
1205,1254
1205,1268
1205,1269
1205,1273
1205,1277
1205,1284
1205,1285
1205,1287
1205,1288
1205,1295
1205,1296
1205,1299
1205,1303
1205,1306
1205,1307
1205,1313
1205,1316
1205,1317
1205,1318
1205,1325
1205,1336
1205,1338
1205,1344
1205,1345
1205,1346
1205,1349
1205,1351
1205,1353
1205,304
1205,410
1205,579
1205,643
1205,896
1205,972
1209,1233
1209,1273
1209,1287
1209,1295
1209,1325
1209,1336
1209,1338
1209,1346
1216,1201
1216,1213
1216,1219
1216,1227
1216,1345
1219,1201
1219,1213
1219,1216
1219,1227
1219,1345
1225,1081
1225,109
1225,1092
1225,1383
1225,334
1225,420
1225,459
1225,640
1225,707
1225,712
1225,734
1225,926
1225,941
1227,1213
1227,1216
1227,1219
1227,1345
1231,1245
1231,1251
1231,1303
1231,1306
1231,1307
1231,1313
1233,1209
1233,1254
1233,1336
124,116
1245,1231
1245,1251
1245,1303
1245,1306
1245,1307
1245,1313
1251,1231
1251,1245
1251,1303
1251,1306
1251,1307
1251,1313
1252,1175
1252,1188
1252,1196
1252,1197
1252,1201
1252,1202
1252,1203
1252,1204
1252,1205
1252,1209
1252,1213
1252,1216
1252,1219
1252,1227
1252,1231
1252,1233
1252,1238
1252,1245
1252,1251
1252,1254
1252,1268
1252,1269
1252,1273
1252,1277
1252,1284
1252,1285
1252,1287
1252,1288
1252,1295
1252,1296
1252,1299
1252,1303
1252,1306
1252,1307
1252,1313
1252,1316
1252,1317
1252,1318
1252,1325
1252,1336
1252,1338
1252,1344
1252,1345
1252,1346
1252,1349
1252,1351
1252,1353
1252,304
1252,410
1252,579
1252,643
1252,896
1252,972
1254,1209
1254,1233
1254,1273
1254,1287
1254,1295
1254,1325
1254,1336
1254,1338
1254,1346
1269,1209
1269,1233
1269,1254
1269,1273
1269,1284
1269,1287
1269,1295
1269,1325
1269,1336
1269,1338
1269,1346
1273,1209
1273,1233
1273,1254
1273,1269
1273,1284
1273,1287
1273,1295
1273,1325
1273,1336
1273,1338
1273,1346
1277,1203
1277,1318
1284,1209
1284,1233
1284,1254
1284,1269
1284,1273
1284,1287
1284,1295
1284,1325
1284,1336
1284,1338
1284,1346
1287,1209
1287,1233
1287,1254
1287,1269
1287,1273
1287,1284
1287,1295
1287,1325
1287,1336
1287,1338
1287,1346
1288,1296
1288,1317
1288,1344
1288,1345
1288,1351
1295,1209
1295,1233
1295,1254
1295,1269
1295,1273
1295,1284
1295,1287
1295,1325
1295,1336
1295,1338
1295,1346
1296,1288
1296,1317
1296,1351
1299,1203
1299,1277
1299,1316
1299,1318
1299,1349
13,160
1303,1245
1303,1251
1303,1306
1303,1307
1303,1313
1306,1245
1306,1251
1306,1303
1306,1307
1306,1313
1307,1245
1307,1251
1307,1303
1307,1306
1307,1313
1313,1245
1313,1251
1313,1303
1313,1306
1313,1307
1316,1203
1316,1277
1316,1299
1316,1318
1318,1203
1318,1277
1318,1349
1325,1209
1325,1269
1325,1273
1325,1284
1325,1287
1325,1295
1325,1336
1325,1338
1325,1346
1328,1008
1328,1009
1328,1121
1328,1330
1328,214
1328,293
1328,358
1328,389
1328,488
1328,573
1328,574
1328,617
1328,648
1328,666
1328,668
1328,714
1328,718
1328,766
1328,881
1328,917
1328,943
1336,1209
1336,1233
1336,1254
1336,1269
1336,1273
1336,1284
1336,1287
1336,1295
1336,1325
1336,1338
1336,1346
1338,1209
1338,1233
1338,1254
1338,1269
1338,1273
1338,1284
1338,1287
1338,1295
1338,1325
1338,1336
1338,1346
1344,1345
1346,1209
1346,1233
1346,1254
1346,1269
1346,1273
1346,1284
1346,1287
1346,1295
1346,1325
1346,1336
1346,1338
1349,1277
1349,1318
1351,1345
1353,1345
1371,1091
1371,1123
1371,269
1371,867
1371,886
1383,459
1384,111
1384,250
1387,1156
1387,1368
1393,423
1393,439
1398,331
153,130
153,1389
159,269
160,56
164,114
168,160
168,244
168,265
168,56
172,1001
172,1014
172,1034
172,1040
172,1064
172,1091
172,111
172,1123
172,125
172,1371
172,1384
172,159
172,161
172,177
172,19
172,198
172,250
172,254
172,269
172,288
172,294
172,30
172,315
172,390
172,397
172,398
172,399
172,409
172,413
172,426
172,433
172,451
172,494
172,538
172,60
172,79
172,831
172,844
172,867
172,889
172,996
177,451
187,1060
187,1062
187,116
187,124
187,193
187,394
187,443
187,828
190,1028
190,1070
190,1085
190,13
190,160
190,168
190,244
190,249
190,257
190,265
190,410
190,416
190,42
190,56
190,92
195,1089
195,525
195,545
195,685
195,705
195,731
195,749
195,915
200,202
200,250
200,254
206,216
206,938
214,293
216,206
216,938
233,533
244,1085
244,134
244,160
244,168
244,249
244,257
244,265
244,410
244,416
244,42
244,56
244,92
245,1014
245,206
245,216
245,938
247,229
247,535
249,1028
249,1085
249,13
249,134
249,160
249,168
249,244
249,257
249,265
249,410
249,416
249,42
249,56
249,92
250,254
257,1028
257,1070
257,1085
257,168
257,190
257,244
257,249
257,265
257,410
257,416
257,42
257,56
257,92
265,1028
265,1070
265,1085
265,160
265,168
265,244
265,249
265,257
265,410
265,416
265,42
265,56
265,92
269,1123
269,844
269,867
269,886
28,38
28,71
28,761
287,270
288,1001
288,1022
288,1072
288,1089
288,1123
288,159
288,19
288,195
288,269
288,294
288,433
288,461
288,525
288,685
288,705
288,731
288,749
288,867
288,886
288,996
294,1022
294,1072
294,399
294,409
294,417
294,433
294,435
294,685
294,705
294,731
294,749
309,312
31,50
312,309
324,706
324,728
324,777
331,1398
334,109
334,1092
334,1225
334,459
334,640
334,712
334,734
339,688
352,705
352,731
358,214
358,293
358,389
358,488
358,617
358,766
363,324
363,706
363,728
363,777
366,1014
367,112
367,440
38,28
38,71
38,761
389,214
389,358
389,488
389,617
389,666
389,668
389,718
389,766
393,315
393,563
393,592
393,927
394,193
397,390
397,398
397,399
397,409
397,413
398,399
399,398
407,669
407,717
409,390
409,397
409,398
409,399
409,413
410,1070
410,1085
410,168
410,190
410,244
410,249
410,257
410,265
410,416
410,42
410,56
410,92
416,1070
416,1085
416,160
416,168
416,190
416,244
416,249
416,257
416,265
416,410
416,42
416,56
416,92
42,56
423,1393
423,688
426,413
427,404
433,435
443,828
460,1131
462,1380
462,723
462,765
469,1098
469,491
469,570
469,820
469,929
469,999
473,1050
473,1051
473,503
489,31
490,1182
490,1399
490,80
491,469
491,820
491,929
491,999
494,30
497,1048
497,803
499,31
499,50
50,31
503,1051
52,1053
525,1089
525,195
525,545
525,685
525,705
525,731
525,749
526,148
545,1089
545,195
545,352
545,525
545,685
545,705
545,731
545,749
56,160
56,168
56,265
56,42
564,581
570,1098
570,469
570,929
573,1008
573,358
573,389
573,574
573,617
573,666
573,668
573,718
573,766
573,943
574,1008
574,128
574,389
574,573
574,666
574,668
574,766
574,943
581,564
593,102
618,651
618,671
618,699
627,681
627,707
647,359
647,388
647,592
647,761
651,618
651,671
651,699
666,293
666,358
666,389
666,617
666,668
666,714
666,718
666,766
668,358
668,389
668,617
668,666
668,714
668,718
668,766
668,881
669,717
671,618
671,651
671,699
681,627
681,707
685,705
685,731
685,749
688,965
697,1063
697,1380
697,345
697,723
697,742
697,765
697,972
699,618
699,651
699,671
702,625
705,685
705,731
705,749
706,728
71,28
71,38
712,1081
712,109
712,1092
712,1225
712,334
712,459
712,640
712,734
712,941
717,407
717,669
718,1008
718,1009
718,1328
718,1330
718,214
718,358
718,389
718,488
718,573
718,574
718,617
718,666
718,668
718,714
718,766
718,881
718,917
723,765
728,706
731,685
731,705
731,749
734,334
734,640
734,712
738,754
738,758
738,762
738,796
748,745
748,778
749,685
749,705
749,731
754,738
754,758
754,762
754,796
761,38
761,388
761,592
761,71
762,796
765,1380
766,1008
766,358
766,389
766,488
766,617
766,666
766,718
772,928
777,324
777,706
777,728
778,745
79,177
796,762
798,193
798,618
798,651
798,671
798,699
803,1048
803,497
813,1032
813,1036
813,1399
813,175
813,490
813,615
813,80
813,814
813,965
814,1029
814,1032
814,1036
814,175
814,615
814,813
814,908
814,965
814,970
815,1080
815,1399
815,175
815,818
820,469
820,491
820,929
820,999
828,443
854,202
854,213
854,359
854,388
854,592
854,647
854,761
867,886
87,102
87,1022
87,1131
87,1360
87,417
87,447
87,545
87,564
87,581
87,593
87,685
87,705
87,749
87,96
881,488
881,666
881,668
886,867
889,1001
889,1019
889,1024
889,1034
889,1040
889,390
889,435
889,960
889,996
894,1081
894,109
894,1092
894,1137
894,1225
894,1383
894,1399
894,334
894,420
894,459
894,640
894,712
894,734
894,818
894,833
894,880
894,926
894,941
903,909
909,903
917,1008
917,1105
917,1121
917,128
917,1328
917,1330
917,214
917,358
917,389
917,488
917,573
917,574
917,617
917,648
917,718
917,766
929,1098
929,469
929,491
929,570
929,820
929,999
938,206
938,216
938,245
941,640
941,734
941,926
96,102
96,1022
96,1131
96,1360
96,417
96,447
96,545
96,564
96,581
96,593
96,685
96,705
96,749
96,87
991,1399
999,469
999,491
999,820
999,929
